comparison,false_positive_rate,true_positive_rate,auc
same_recording_split_halves,0.060549604,0.47368421,0.88157418
same_recording_split_halves,0.060704859,0.47368421,0.88157418
same_recording_split_halves,0.060860115,0.47368421,0.88157418
same_recording_split_halves,0.06101537,0.47368421,0.88157418
same_recording_split_halves,0.061170626,0.47368421,0.88157418
same_recording_split_halves,0.061325881,0.47368421,0.88157418
same_recording_split_halves,0.061481136,0.47368421,0.88157418
same_recording_split_halves,0.061636392,0.47368421,0.88157418
same_recording_split_halves,0.061791647,0.47368421,0.88157418
same_recording_split_halves,0.061791647,0.48245614,0.88157418
same_recording_split_halves,0.061946903,0.48245614,0.88157418
same_recording_split_halves,0.062102158,0.48245614,0.88157418
same_recording_split_halves,0.062257413,0.48245614,0.88157418
same_recording_split_halves,0.062412669,0.48245614,0.88157418
same_recording_split_halves,0.062412669,0.49122807,0.88157418
same_recording_split_halves,0.062567924,0.49122807,0.88157418
same_recording_split_halves,0.06272318,0.49122807,0.88157418
same_recording_split_halves,0.062878435,0.49122807,0.88157418
same_recording_split_halves,0.06303369,0.49122807,0.88157418
same_recording_split_halves,0.063188946,0.49122807,0.88157418
same_recording_split_halves,0.063344201,0.49122807,0.88157418
same_recording_split_halves,0.063499457,0.49122807,0.88157418
same_recording_split_halves,0.063654712,0.49122807,0.88157418
same_recording_split_halves,0.063809967,0.49122807,0.88157418
same_recording_split_halves,0.063965223,0.49122807,0.88157418
same_recording_split_halves,0.064120478,0.49122807,0.88157418
same_recording_split_halves,0.064275734,0.49122807,0.88157418
same_recording_split_halves,0.064430989,0.49122807,0.88157418
same_recording_split_halves,0.064586244,0.49122807,0.88157418
same_recording_split_halves,0.0647415,0.49122807,0.88157418
same_recording_split_halves,0.0647415,0.5,0.88157418
same_recording_split_halves,0.064896755,0.5,0.88157418
same_recording_split_halves,0.065052011,0.5,0.88157418
same_recording_split_halves,0.065207266,0.5,0.88157418
same_recording_split_halves,0.065362521,0.5,0.88157418
same_recording_split_halves,0.065517777,0.5,0.88157418
same_recording_split_halves,0.065673032,0.5,0.88157418
same_recording_split_halves,0.065828288,0.5,0.88157418
same_recording_split_halves,0.065983543,0.5,0.88157418
same_recording_split_halves,0.066138798,0.5,0.88157418
same_recording_split_halves,0.066294054,0.5,0.88157418
same_recording_split_halves,0.066449309,0.5,0.88157418
same_recording_split_halves,0.066604565,0.5,0.88157418
same_recording_split_halves,0.06675982,0.5,0.88157418
same_recording_split_halves,0.066915075,0.5,0.88157418
same_recording_split_halves,0.067070331,0.5,0.88157418
same_recording_split_halves,0.067225586,0.5,0.88157418
same_recording_split_halves,0.067380841,0.5,0.88157418
